news_date,source,headline,predicted_category,priority,urea_increase,urea_decrease,urea_volatility,dap_increase,dap_decrease,dap_volatility,mop_increase,mop_decrease,mop_volatility,actual_category,category_match
2022-11-11,Reuters,DAP дешевеет из-за слабого спроса в Индии,Фосфаты,95,0.418,0.541,0.041,0.244,0.713,0.043,0.319,0.636,0.045,Фосфаты,True
2022-11-16,Bloomberg,Производитель открыл обновлённый учебный центр,Прочее,0,0.05,0.05,0.9,0.05,0.05,0.9,0.05,0.05,0.9,Прочее,True
2022-11-19,Argus,Газ дешевеет вторую неделю подряд,Энергоносители,40,0.03,0.82,0.15,0.03,0.77,0.2,0.02,0.73,0.25,Энергоносители,True
2022-11-26,Bloomberg,Запуск простаивавших мощностей давит на цены аммиака,Аммиак,95,0.05,0.85,0.1,0.05,0.8,0.15,0.1,0.6,0.3,Аммиак,True
2022-11-28,ICIS,Падение цен на зерно ослабляет спрос на удобрения,Спрос/агрорынок,75,0.02,0.9,0.08,0.02,0.9,0.08,0.02,0.9,0.08,Спрос/агрорынок,True
2022-12-01,Reuters,Снижение цен на серу тянет вниз котировки фосфатных удобрений,Фосфаты,80,0.01,0.94,0.05,0.02,0.92,0.06,0.01,0.94,0.05,Фосфаты,True
2022-12-05,Профильный телеграм-канал,Фермеры откладывают закупки удобрений,Спрос/агрорынок,75,0.1,0.55,0.35,0.1,0.55,0.35,0.1,0.5,0.4,Спрос/агрорынок,True
2022-12-06,Интерфакс,Снижение цен на серу тянет вниз котировки фосфатных удобрений,Фосфаты,80,0.05,0.05,0.9,0.05,0.75,0.2,0.05,0.05,0.9,Фосфаты,True
2022-12-15,Профильный телеграм-канал,Отраслевая конференция по удобрениям пройдёт в следующем месяце,Прочее,10,0.02,0.03,0.95,0.02,0.03,0.95,0.02,0.03,0.95,Прочее,True
2022-12-20,Argus,Газ дешевеет вторую неделю подряд,Энергоносители,70,0.0209,0.9365,0.0426,0.0193,0.9413,0.0394,0.0176,0.9488,0.0336,Энергоносители,True
2022-12-20,Argus,Запуск простаивавших мощностей давит на цены аммиака,Аммиак,80,0.1,0.65,0.25,0.15,0.6,0.25,0.1,0.65,0.25,Аммиак,True
2022-12-27,CRU,"Рубль укрепился, ЦБ удержал ставку",Макро/валюта,100,0.1,0.1,0.8,0.1,0.1,0.8,0.1,0.1,0.8,Макро/валюта,True
2022-12-31,Коммерсантъ,Стабилизация на газовом рынке снижает издержки производителей,Энергоносители,75,0.4,0.05,0.55,0.35,0.05,0.6,0.4,0.05,0.55,Энергоносители,True
2023-01-05,CRU,Котировки аммиака пошли вниз на фоне слабого спроса,Аммиак,85,0.02,0.93,0.05,0.02,0.9,0.08,0.02,0.88,0.1,Аммиак,True
2023-01-05,Профильный телеграм-канал,Назначен новый директор по устойчивому развитию,Прочее,0,0.1,0.1,0.8,0.1,0.1,0.8,0.1,0.1,0.8,Прочее,True
2023-01-07,ICIS,Новые контракты по калию заключены ниже рынка,Калий,85,0.2,0.3,0.5,0.2,0.3,0.5,0.05,0.85,0.1,Калий,True
2023-01-11,Argus,Компания провела ежегодный день инвестора,Прочее,5,0.15,0.05,0.8,0.15,0.05,0.8,0.15,0.05,0.8,Прочее,True
2023-01-16,Reuters,"Ставки фрахта снижаются, логистика дешевеет",Логистика,60,0.05,0.7,0.25,0.05,0.7,0.25,0.05,0.7,0.25,Логистика,True
2023-01-17,Argus,Высокие цены на агрокультуры стимулируют закупки удобрений фермерами,Спрос/агрорынок,75,0.25,0.4,0.35,0.3,0.25,0.45,0.25,0.25,0.5,Спрос/агрорынок,True
2023-01-21,Argus,Опубликован годовой ESG-отчёт компании,Прочее,0,0.1,0.1,0.8,0.1,0.1,0.8,0.1,0.1,0.8,Прочее,True
2023-01-23,Argus,DAP дешевеет из-за слабого спроса в Индии,Фосфаты,85,0.1,0.4,0.5,0.05,0.8,0.15,0.1,0.35,0.55,Фосфаты,True
2023-01-26,Argus,Производитель открыл обновлённый учебный центр,Прочее,10,0.15,0.15,0.7,0.15,0.15,0.7,0.15,0.15,0.7,Прочее,True
2023-01-27,Коммерсантъ,Котировки аммиака пошли вниз на фоне слабого спроса,Аммиак,80,0.02,0.88,0.1,0.02,0.86,0.12,0.02,0.85,0.13,Аммиак,True
2023-01-31,Argus,Назначен новый директор по устойчивому развитию,Прочее,5,0.1,0.1,0.8,0.1,0.1,0.8,0.1,0.1,0.8,Прочее,True
2023-02-02,Reuters,Запуск простаивавших мощностей давит на цены аммиака,Аммиак,90,0.05,0.9,0.05,0.05,0.85,0.1,0.1,0.8,0.1,Аммиак,True
2023-02-09,Bloomberg,Котировки аммиака пошли вниз на фоне слабого спроса,Аммиак,75,0.05,0.85,0.1,0.05,0.8,0.15,0.05,0.8,0.15,Аммиак,True
2023-02-13,CRU,Ставки морского фрахта взлетели из-за перегрузки портов,Логистика,75,0.7,0.1,0.2,0.7,0.1,0.2,0.7,0.1,0.2,Логистика,True
2023-02-14,ICIS,"Цены на газ в Европе снижаются, давление на себестоимость удобрений ослабевает",Энергоносители,85,0.1,0.7,0.2,0.1,0.7,0.2,0.1,0.7,0.2,Энергоносители,True
2023-02-14,CRU,Высокие цены на агрокультуры стимулируют закупки удобрений фермерами,Спрос/агрорынок,80,0.4,0.25,0.35,0.45,0.2,0.35,0.4,0.25,0.35,Спрос/агрорынок,True
2023-02-14,Профильный телеграм-канал,Девальвация рубля повышает экспортную привлекательность удобрений,Макро/валюта,70,0.75,0.05,0.2,0.7,0.05,0.25,0.65,0.05,0.3,Макро/валюта,True
2023-02-23,CRU,"Цены на газ в Европе снижаются, давление на себестоимость удобрений ослабевает",Энергоносители,90,0.05,0.8,0.15,0.1,0.65,0.25,0.1,0.65,0.25,Энергоносители,True
2023-02-24,Argus,Производитель открыл обновлённый учебный центр,Прочее,0,0.1,0.1,0.8,0.1,0.1,0.8,0.1,0.1,0.8,Прочее,True
2023-03-07,Argus,Рост цен на зерно поддерживает спрос на удобрения,Спрос/агрорынок,30,0.45,0.2,0.35,0.4,0.2,0.4,0.4,0.2,0.4,Спрос/агрорынок,True
2023-03-09,Коммерсантъ,Котировки аммиака пошли вниз на фоне слабого спроса,Аммиак,85,0.05,0.85,0.1,0.04,0.86,0.1,0.03,0.87,0.1,Аммиак,True
2023-03-27,Интерфакс,Рост цен на зерно поддерживает спрос на удобрения,Спрос/агрорынок,70,0.5,0.1,0.4,0.45,0.1,0.45,0.3,0.15,0.55,Спрос/агрорынок,True
2023-04-01,Профильный телеграм-канал,Производители аммиака объявили о сокращении мощностей,Аммиак,85,0.1,0.75,0.15,0.1,0.7,0.2,0.1,0.65,0.25,Аммиак,True
2023-04-05,Коммерсантъ,Цены на DAP растут на фоне крепкого спроса в Южной Азии,Фосфаты,95,0.15,0.06,0.79,0.85,0.05,0.1,0.7,0.05,0.25,Фосфаты,True
2023-04-07,Профильный телеграм-канал,Экспортные котировки аммиака выросли вслед за газом,Аммиак,85,0.7,0.1,0.2,0.65,0.1,0.25,0.35,0.2,0.45,Аммиак,True
2023-04-10,Коммерсантъ,Новые контракты по калию заключены ниже рынка,Калий,95,0.25,0.35,0.4,0.2,0.3,0.5,0.15,0.55,0.3,Калий,True
2023-04-13,Argus,"Рубль укрепился, ЦБ удержал ставку",Макро/валюта,60,0.15,0.15,0.7,0.15,0.15,0.7,0.15,0.15,0.7,Макро/валюта,True
2023-04-18,Reuters,Ставки морского фрахта взлетели из-за перегрузки портов,Логистика,70,0.75,0.1,0.15,0.7,0.12,0.18,0.65,0.15,0.2,Логистика,True
2023-04-21,Интерфакс,Запуск простаивавших мощностей давит на цены аммиака,Аммиак,100,0.05,0.75,0.2,0.1,0.7,0.2,0.05,0.75,0.2,Аммиак,True
2023-04-24,Коммерсантъ,Газ дешевеет вторую неделю подряд,Энергоносители,80,0.05,0.7,0.25,0.05,0.7,0.25,0.05,0.75,0.2,Энергоносители,True
2023-05-04,Bloomberg,Запуск простаивавших мощностей давит на цены аммиака,Аммиак,85,0.05,0.75,0.2,0.1,0.7,0.2,0.1,0.65,0.25,Аммиак,True
2023-05-04,Argus,Отраслевая конференция по удобрениям пройдёт в следующем месяце,Прочее,10,0.15,0.15,0.7,0.15,0.15,0.7,0.15,0.15,0.7,Прочее,True
2023-05-05,ICIS,Логистические издержки растут — дорожает доставка удобрений,Логистика,75,0.5,0.2,0.3,0.45,0.25,0.3,0.4,0.3,0.3,Логистика,True
2023-05-17,Интерфакс,Логистические издержки растут — дорожает доставка удобрений,Логистика,60,0.35,0.25,0.4,0.3,0.25,0.45,0.25,0.35,0.4,Логистика,True
2023-05-20,Профильный телеграм-канал,"Поставки калия восстанавливаются, цены MOP снижаются",Калий,75,0.2,0.45,0.35,0.2,0.45,0.35,0.1,0.75,0.15,Калий,True
2023-05-23,Argus,Производители аммиака объявили о сокращении мощностей,Аммиак,95,0.05,0.8,0.15,0.05,0.75,0.2,0.03,0.82,0.15,Аммиак,True
2023-05-24,ICIS,Стабилизация на газовом рынке снижает издержки производителей,Энергоносители,65,0.3,0.35,0.35,0.3,0.3,0.4,0.3,0.3,0.4,Энергоносители,True
2023-05-24,Argus,Фермеры откладывают закупки удобрений,Спрос/агрорынок,30,0.1,0.5,0.4,0.1,0.5,0.4,0.1,0.55,0.35,Спрос/агрорынок,True
2023-05-25,Интерфакс,Ставки морского фрахта взлетели из-за перегрузки портов,Логистика,85,0.94,0.02,0.04,0.93,0.02,0.05,0.92,0.02,0.06,Логистика,True
2023-05-26,Bloomberg,Запущена корпоративная программа стажировок,Прочее,20,0.05,0.05,0.9,0.05,0.05,0.9,0.05,0.05,0.9,Прочее,True
2023-06-05,Коммерсантъ,Рубль резко ослаб к доллару,Макро/валюта,80,0.1,0.75,0.15,0.1,0.7,0.2,0.1,0.7,0.2,Макро/валюта,True
2023-06-12,Интерфакс,Рубль резко ослаб к доллару,Макро/валюта,40,0.05,0.85,0.1,0.05,0.85,0.1,0.05,0.85,0.1,Макро/валюта,True
2023-06-16,CRU,Локдауны бьют по логистике и спросу на удобрения,Логистика,60,0.015,0.935,0.05,0.015,0.915,0.07,0.015,0.93,0.055,Спрос/агрорынок,False
2023-06-24,ICIS,Снижение цен на серу тянет вниз котировки фосфатных удобрений,Фосфаты,80,0.1,0.6,0.3,0.1,0.65,0.25,0.1,0.6,0.3,Фосфаты,True
2023-06-29,Reuters,Падение цен на зерно ослабляет спрос на удобрения,Спрос/агрорынок,85,0.05,0.85,0.1,0.05,0.85,0.1,0.05,0.85,0.1,Спрос/агрорынок,True
2023-08-08,CRU,Новые контракты по калию заключены ниже рынка,Калий,90,0.1,0.35,0.55,0.1,0.35,0.55,0.1,0.4,0.5,Калий,True
2023-08-15,Профильный телеграм-канал,Нарушение цепочек поставок: контейнеры подорожали в разы,Логистика,80,0.05,0.75,0.2,0.05,0.75,0.2,0.05,0.75,0.2,Логистика,True
2023-08-15,Профильный телеграм-канал,Подписан меморандум о научном сотрудничестве с вузом,Прочее,0,0.05,0.05,0.9,0.05,0.05,0.9,0.05,0.05,0.9,Прочее,True
2023-08-23,Reuters,Фермеры откладывают закупки удобрений,Спрос/агрорынок,60,0.15,0.55,0.3,0.15,0.5,0.35,0.1,0.6,0.3,Спрос/агрорынок,True
2023-08-28,Интерфакс,Падение цен на зерно ослабляет спрос на удобрения,Спрос/агрорынок,85,0.05,0.8,0.15,0.05,0.8,0.15,0.05,0.8,0.15,Спрос/агрорынок,True
2023-09-01,Argus,Цены на DAP растут на фоне крепкого спроса в Южной Азии,Фосфаты,90,0.4,0.2,0.4,0.8,0.05,0.15,0.35,0.2,0.45,Фосфаты,True
2023-09-04,Bloomberg,Фосфатное сырьё дорожает вслед за серой,Фосфаты,80,0.55,0.15,0.3,0.65,0.1,0.25,0.45,0.15,0.4,Фосфаты,True
2023-09-09,Reuters,Газ дешевеет вторую неделю подряд,Энергоносители,85,0.03,0.9,0.07,0.1,0.7,0.2,0.1,0.7,0.2,Энергоносители,True
2023-09-12,CRU,Фосфатное сырьё дорожает вслед за серой,Фосфаты,90,0.15,0.4,0.45,0.55,0.25,0.2,0.2,0.35,0.45,Фосфаты,True
2023-09-16,Bloomberg,"Ставки фрахта снижаются, логистика дешевеет",Логистика,70,0.05,0.8,0.15,0.05,0.8,0.15,0.05,0.8,0.15,Логистика,True
2023-10-28,Коммерсантъ,Фосфатное сырьё дорожает вслед за серой,Фосфаты,85,0.1,0.5,0.4,0.1,0.5,0.4,0.1,0.5,0.4,Фосфаты,True
2023-11-01,CRU,"Ставки фрахта снижаются, логистика дешевеет",Логистика,60,0.2,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.4,Логистика,True
2023-11-09,Bloomberg,Фосфатное сырьё дорожает вслед за серой,Фосфаты,85,0.15,0.1,0.75,0.75,0.1,0.15,0.15,0.1,0.75,Фосфаты,True
2023-11-11,CRU,Новые контракты по калию заключены ниже рынка,Калий,90,0.2,0.3,0.5,0.2,0.3,0.5,0.1,0.6,0.3,Калий,True
2023-11-15,Профильный телеграм-канал,Цены на DAP растут на фоне крепкого спроса в Южной Азии,Спрос/агрорынок,60,0.7,0.05,0.25,0.85,0.03,0.12,0.65,0.05,0.3,Фосфаты,False
2023-11-16,ICIS,Запущена корпоративная программа стажировок,Прочее,0,0.1,0.1,0.8,0.1,0.1,0.8,0.1,0.1,0.8,Прочее,True
2023-11-17,Reuters,Локдауны бьют по логистике и спросу на удобрения,Логистика,85,0.05,0.7,0.25,0.05,0.68,0.27,0.05,0.72,0.23,Спрос/агрорынок,False
2023-11-28,CRU,Рост цен на зерно поддерживает спрос на удобрения,Спрос/агрорынок,65,0.35,0.2,0.45,0.4,0.15,0.45,0.4,0.15,0.45,Спрос/агрорынок,True
2023-11-29,Argus,Подписан меморандум о научном сотрудничестве с вузом,Прочее,0,0.1,0.1,0.8,0.1,0.1,0.8,0.1,0.1,0.8,Прочее,True
2023-11-29,Argus,Снижение цен на серу тянет вниз котировки фосфатных удобрений,Фосфаты,80,0.1,0.6,0.3,0.2,0.5,0.3,0.1,0.5,0.4,Фосфаты,True
2023-12-02,ICIS,Цены на газ в Европе подскочили до многомесячных максимумов,Энергоносители,85,0.75,0.1,0.15,0.55,0.15,0.3,0.5,0.15,0.35,Энергоносители,True
2023-12-02,Reuters,Нарушение цепочек поставок: контейнеры подорожали в разы,Логистика,20,0.05,0.65,0.3,0.05,0.65,0.3,0.05,0.65,0.3,Логистика,True
2023-12-12,Коммерсантъ,"Поставки калия восстанавливаются, цены MOP снижаются",Калий,90,0.15,0.35,0.5,0.15,0.35,0.5,0.05,0.8,0.15,Калий,True
2023-12-12,Коммерсантъ,Рост цен на зерно поддерживает спрос на удобрения,Спрос/агрорынок,60,0.45,0.12,0.43,0.39,0.07,0.54,0.37,0.08,0.55,Спрос/агрорынок,True
2023-12-14,Argus,Газ дешевеет вторую неделю подряд,Энергоносители,100,0.05,0.8,0.15,0.05,0.8,0.15,0.05,0.8,0.15,Энергоносители,True
2023-12-14,Профильный телеграм-канал,Опубликован годовой ESG-отчёт компании,Прочее,0,0.05,0.15,0.8,0.05,0.15,0.8,0.05,0.15,0.8,Прочее,True
2023-12-19,Reuters,Новые контракты по калию заключены ниже рынка,Калий,80,0.15,0.2,0.65,0.15,0.2,0.65,0.15,0.1,0.75,Калий,True
2024-01-13,Коммерсантъ,Котировки аммиака пошли вниз на фоне слабого спроса,Аммиак,85,0.05,0.85,0.1,0.05,0.85,0.1,0.05,0.8,0.15,Аммиак,True
2024-01-16,Reuters,"Ставки фрахта снижаются, логистика дешевеет",Логистика,70,0.1,0.2,0.7,0.1,0.2,0.7,0.1,0.2,0.7,Логистика,True
2024-01-18,Argus,"Поставки хлористого калия сорваны, цены MOP идут вверх",Калий,95,0.1,0.5,0.4,0.9,0.05,0.05,0.85,0.1,0.05,Калий,True
2024-01-20,Argus,Снижение цен на серу тянет вниз котировки фосфатных удобрений,Фосфаты,90,0.15,0.45,0.4,0.05,0.8,0.15,0.1,0.5,0.4,Фосфаты,True
2024-01-24,Reuters,Введены ограничения на экспорт калия — рынок ждёт дефицита,Калий,90,0.18,0.34,0.48,0.17,0.31,0.52,0.19,0.33,0.48,Калий,True
2024-01-27,Bloomberg,Производители аммиака объявили о сокращении мощностей,Аммиак,90,0.1,0.7,0.2,0.1,0.65,0.25,0.1,0.55,0.35,Аммиак,True
2024-01-29,Argus,Фосфатное сырьё дорожает вслед за серой,Фосфаты,90,0.25,0.35,0.4,0.6,0.2,0.2,0.25,0.35,0.4,Фосфаты,True
2024-01-30,Профильный телеграм-канал,Высокие цены на агрокультуры стимулируют закупки удобрений фермерами,Спрос/агрорынок,60,0.1,0.65,0.25,0.1,0.55,0.35,0.1,0.6,0.3,Спрос/агрорынок,True
2024-02-08,Интерфакс,Производители аммиака объявили о сокращении мощностей,Аммиак,95,0.7,0.1,0.2,0.2,0.5,0.3,0.2,0.5,0.3,Аммиак,True
2024-02-13,Argus,Рост цен на зерно поддерживает спрос на удобрения,Спрос/агрорынок,85,0.4,0.2,0.4,0.4,0.15,0.45,0.4,0.2,0.4,Спрос/агрорынок,True
2024-02-13,CRU,Стабилизация рубля снижает экспортные премии,Макро/валюта,60,0.6,0.25,0.15,0.55,0.25,0.2,0.55,0.25,0.2,Макро/валюта,True
2024-02-16,Коммерсантъ,Производители аммиака объявили о сокращении мощностей,Аммиак,90,0.7,0.1,0.2,0.6,0.15,0.25,0.2,0.3,0.5,Аммиак,True
2024-02-29,Профильный телеграм-канал,Запущена корпоративная программа стажировок,Прочее,0,0.01,0.01,0.98,0.01,0.01,0.98,0.01,0.01,0.98,Прочее,True
2024-03-11,Bloomberg,Газ дорожает на фоне перебоев с поставками — растёт себестоимость азотных удобрений,Энергоносители,85,0.6,0.2,0.2,0.3,0.4,0.3,0.3,0.4,0.3,Энергоносители,True
2024-03-21,ICIS,Цены на DAP растут на фоне крепкого спроса в Южной Азии,Фосфаты,90,0.2,0.1,0.7,0.9,0.05,0.05,0.2,0.1,0.7,Фосфаты,True
2024-03-27,Bloomberg,"Ставки фрахта снижаются, логистика дешевеет",Логистика,60,0.1,0.3,0.6,0.15,0.25,0.6,0.1,0.3,0.6,Логистика,True
2024-04-04,Коммерсантъ,Локдауны бьют по логистике и спросу на удобрения,Логистика,85,0.05,0.75,0.2,0.05,0.75,0.2,0.05,0.75,0.2,Спрос/агрорынок,False
2024-04-09,CRU,Назначен новый директор по устойчивому развитию,Прочее,10,0.1,0.1,0.8,0.1,0.1,0.8,0.1,0.1,0.8,Прочее,True
2024-04-16,CRU,Экспортные котировки аммиака выросли вслед за газом,Аммиак,75,0.3,0.2,0.5,0.2,0.2,0.6,0.2,0.2,0.6,Аммиак,True
2024-04-19,Reuters,Подписан меморандум о научном сотрудничестве с вузом,Прочее,5,0.1,0.1,0.8,0.1,0.1,0.8,0.1,0.1,0.8,Прочее,True
2024-04-23,Коммерсантъ,Газ дешевеет вторую неделю подряд,Энергоносители,70,0.05,0.8,0.15,0.15,0.45,0.4,0.15,0.45,0.4,Энергоносители,True
2024-04-23,Коммерсантъ,DAP дешевеет из-за слабого спроса в Индии,Фосфаты,80,0.05,0.75,0.2,0.05,0.8,0.15,0.1,0.7,0.2,Фосфаты,True
2024-04-24,Argus,Рост цен на зерно поддерживает спрос на удобрения,Спрос/агрорынок,70,0.25,0.13,0.62,0.24,0.07,0.69,0.28,0.11,0.61,Спрос/агрорынок,True
2024-05-01,Коммерсантъ,DAP дешевеет из-за слабого спроса в Индии,Фосфаты,80,0.05,0.45,0.5,0.05,0.8,0.15,0.05,0.4,0.55,Фосфаты,True
2024-05-02,Argus,"Энергокризис в Европе усиливается, заводы сокращают выпуск аммиака",Энергоносители,90,0.8,0.1,0.1,0.65,0.15,0.2,0.25,0.45,0.3,Энергоносители,True
2024-05-04,CRU,Нарушение цепочек поставок: контейнеры подорожали в разы,Логистика,70,0.15,0.7,0.15,0.15,0.7,0.15,0.15,0.7,0.15,Логистика,True
2024-05-23,Интерфакс,Рост цен на зерно поддерживает спрос на удобрения,Спрос/агрорынок,70,0.7,0.1,0.2,0.6,0.1,0.3,0.45,0.15,0.4,Спрос/агрорынок,True
2024-06-06,Bloomberg,"Поставки калия восстанавливаются, цены MOP снижаются",Калий,95,0.2,0.35,0.45,0.2,0.35,0.45,0.1,0.75,0.15,Калий,True
2024-06-14,Reuters,Назначен новый директор по устойчивому развитию,Прочее,0,0.1,0.1,0.8,0.1,0.1,0.8,0.1,0.1,0.8,Прочее,True
2024-06-18,Коммерсантъ,Опубликован годовой ESG-отчёт компании,Прочее,5,0.1,0.1,0.8,0.1,0.1,0.8,0.1,0.1,0.8,Прочее,True
2024-06-27,Коммерсантъ,Запуск простаивавших мощностей давит на цены аммиака,Аммиак,87,0.05,0.8,0.15,0.1,0.7,0.2,0.15,0.6,0.25,Аммиак,True
2024-07-04,ICIS,Запуск простаивавших мощностей давит на цены аммиака,Аммиак,75,0.15,0.7,0.15,0.15,0.7,0.15,0.2,0.6,0.2,Аммиак,True
2024-07-11,ICIS,Экспортные котировки аммиака выросли вслед за газом,Аммиак,85,0.35,0.1,0.55,0.25,0.1,0.65,0.25,0.1,0.65,Аммиак,True
2024-07-24,Argus,"Цены на газ в Европе снижаются, давление на себестоимость удобрений ослабевает",Энергоносители,90,0.05,0.85,0.1,0.1,0.75,0.15,0.1,0.7,0.2,Энергоносители,True
2024-07-24,Интерфакс,Локдауны бьют по логистике и спросу на удобрения,Логистика,65,0.05,0.8,0.15,0.05,0.8,0.15,0.05,0.8,0.15,Спрос/агрорынок,False
2024-08-01,Профильный телеграм-канал,DAP дешевеет из-за слабого спроса в Индии,Фосфаты,85,0.0,0.7,0.3,0.0,0.85,0.15,0.05,0.65,0.3,Фосфаты,True
2024-08-03,Интерфакс,Нарушение цепочек поставок: контейнеры подорожали в разы,Логистика,1,0.3,0.5,0.2,0.25,0.55,0.2,0.2,0.6,0.2,Логистика,True
2024-08-14,ICIS,Цены на газ в Европе подскочили до многомесячных максимумов,Энергоносители,85,0.65,0.1,0.25,0.4,0.2,0.4,0.35,0.2,0.45,Энергоносители,True
2024-08-16,Профильный телеграм-канал,Производители аммиака объявили о сокращении мощностей,Аммиак,80,0.1,0.65,0.25,0.1,0.6,0.3,0.05,0.55,0.4,Аммиак,True
2024-09-09,Bloomberg,Дефицит калия на ключевых рынках толкает цены вверх,Калий,85,0.25,0.35,0.4,0.25,0.35,0.4,0.7,0.1,0.2,Калий,True
2024-09-21,CRU,Экспортные котировки аммиака выросли вслед за газом,Аммиак,85,0.75,0.05,0.2,0.55,0.1,0.35,0.5,0.1,0.4,Аммиак,True
2024-10-11,Профильный телеграм-канал,Производители аммиака объявили о сокращении мощностей,Аммиак,95,0.08,0.7,0.22,0.1,0.65,0.25,0.06,0.75,0.19,Аммиак,True
2024-10-18,Коммерсантъ,Цены на DAP растут на фоне крепкого спроса в Южной Азии,Фосфаты,80,0.4,0.2,0.4,0.8,0.05,0.15,0.35,0.2,0.45,Фосфаты,True
2024-10-21,CRU,Логистические издержки растут — дорожает доставка удобрений,Логистика,60,0.35,0.3,0.35,0.4,0.25,0.35,0.3,0.35,0.35,Логистика,True
2024-10-22,Argus,"Рубль укрепился, ЦБ удержал ставку",Макро/валюта,20,0.2,0.35,0.45,0.2,0.3,0.5,0.15,0.25,0.6,Макро/валюта,True
2024-11-09,Reuters,Девальвация рубля повышает экспортную привлекательность удобрений,Макро/валюта,85,0.75,0.15,0.1,0.75,0.15,0.1,0.75,0.15,0.1,Макро/валюта,True
2024-11-09,Профильный телеграм-канал,Нарушение цепочек поставок: контейнеры подорожали в разы,Логистика,40,0.1,0.6,0.3,0.1,0.55,0.35,0.1,0.6,0.3,Логистика,True
2024-11-11,Reuters,Фосфатное сырьё дорожает вслед за серой,Фосфаты,75,0.1,0.2,0.7,0.7,0.1,0.2,0.15,0.25,0.6,Фосфаты,True
2024-11-19,Reuters,Котировки аммиака пошли вниз на фоне слабого спроса,Аммиак,85,0.05,0.65,0.3,0.05,0.63,0.32,0.05,0.64,0.31,Аммиак,True
2024-11-21,Reuters,Рубль резко ослаб к доллару,Макро/валюта,0,0.1,0.7,0.2,0.1,0.7,0.2,0.1,0.7,0.2,Макро/валюта,True
2024-11-21,ICIS,Производитель открыл обновлённый учебный центр,Прочее,0,0.05,0.05,0.9,0.05,0.05,0.9,0.05,0.05,0.9,Прочее,True
2024-11-28,Bloomberg,"Ставки фрахта снижаются, логистика дешевеет",Логистика,70,0.05,0.85,0.1,0.05,0.85,0.1,0.05,0.85,0.1,Логистика,True
2024-12-09,CRU,Отраслевая конференция по удобрениям пройдёт в следующем месяце,Прочее,0,0.05,0.05,0.9,0.05,0.05,0.9,0.05,0.05,0.9,Прочее,True
2024-12-10,Argus,Котировки аммиака пошли вниз на фоне слабого спроса,Аммиак,1,0.05,0.85,0.1,0.05,0.8,0.15,0.08,0.72,0.2,Аммиак,True
2025-01-13,Коммерсантъ,Фосфатное сырьё дорожает вслед за серой,Фосфаты,80,0.45,0.15,0.4,0.7,0.1,0.2,0.35,0.2,0.45,Фосфаты,True
2025-01-17,CRU,Нарушение цепочек поставок: контейнеры подорожали в разы,Логистика,85,0.05,0.85,0.1,0.05,0.8,0.15,0.05,0.85,0.1,Логистика,True
2025-01-27,CRU,"Ставки фрахта снижаются, логистика дешевеет",Логистика,100,0.1,0.75,0.15,0.1,0.7,0.2,0.1,0.7,0.2,Логистика,True
2025-02-15,Bloomberg,Рост цен на зерно поддерживает спрос на удобрения,Спрос/агрорынок,85,0.25,0.15,0.6,0.3,0.1,0.6,0.25,0.15,0.6,Спрос/агрорынок,True
2025-02-21,Коммерсантъ,Новые контракты по калию заключены ниже рынка,Калий,95,0.2,0.4,0.4,0.2,0.4,0.4,0.1,0.6,0.3,Калий,True
2025-02-28,ICIS,Отраслевая конференция по удобрениям пройдёт в следующем месяце,Прочее,80,0.03,0.07,0.9,0.03,0.06,0.91,0.03,0.07,0.9,Прочее,True
2025-03-05,Reuters,Производитель открыл обновлённый учебный центр,Прочее,0,0.2,0.2,0.6,0.2,0.2,0.6,0.2,0.2,0.6,Прочее,True
2025-03-10,CRU,"Рубль укрепился, ЦБ удержал ставку",Макро/валюта,30,0.25,0.2,0.55,0.25,0.2,0.55,0.25,0.2,0.55,Макро/валюта,True
2025-03-22,CRU,Девальвация рубля повышает экспортную привлекательность удобрений,Макро/валюта,65,0.85,0.1,0.05,0.87,0.08,0.05,0.82,0.12,0.06,Макро/валюта,True
2025-04-01,Reuters,Высокие цены на агрокультуры стимулируют закупки удобрений фермерами,Спрос/агрорынок,65,0.45,0.2,0.35,0.55,0.15,0.3,0.45,0.2,0.35,Спрос/агрорынок,True
2025-04-10,Профильный телеграм-канал,Логистические издержки растут — дорожает доставка удобрений,Логистика,40,0.55,0.15,0.3,0.55,0.15,0.3,0.5,0.2,0.3,Логистика,True
2025-04-12,ICIS,Газ дорожает на фоне перебоев с поставками — растёт себестоимость азотных удобрений,Аммиак,85,0.15,0.7,0.15,0.2,0.5,0.3,0.25,0.55,0.2,Энергоносители,False
2025-04-18,Argus,Отраслевая конференция по удобрениям пройдёт в следующем месяце,Прочее,0,0.1,0.1,0.8,0.1,0.1,0.8,0.1,0.1,0.8,Прочее,True
2025-04-22,Коммерсантъ,Фосфатное сырьё дорожает вслед за серой,Фосфаты,75,0.15,0.3,0.55,0.3,0.15,0.55,0.1,0.2,0.7,Фосфаты,True
2025-05-10,Коммерсантъ,Новые контракты по калию заключены ниже рынка,Калий,85,0.1,0.1,0.8,0.1,0.1,0.8,0.05,0.65,0.3,Калий,True
2025-05-14,Коммерсантъ,Снижение цен на серу тянет вниз котировки фосфатных удобрений,Фосфаты,75,0.05,0.55,0.4,0.05,0.85,0.1,0.05,0.5,0.45,Фосфаты,True
