date,source,category,headline
2025-08-12,ICIS,Логистика,Ставки морского фрахта взлетели из-за перегрузки портов
2025-08-13,Argus,Спрос/агрорынок,Падение цен на зерно ослабляет спрос на удобрения
2025-08-16,Reuters,Аммиак,Экспортные котировки аммиака выросли вслед за газом
2025-08-28,Коммерсантъ,Спрос/агрорынок,Локдауны бьют по логистике и спросу на удобрения
2025-08-29,Reuters,Фосфаты,Снижение цен на серу тянет вниз котировки фосфатных удобрений
2025-09-01,CRU,Прочее,Опубликован годовой ESG-отчёт компании
2025-09-09,Reuters,Калий,Дефицит калия на ключевых рынках толкает цены вверх
2025-09-10,Интерфакс,Аммиак,Запуск простаивавших мощностей давит на цены аммиака
2025-09-13,Bloomberg,Прочее,Производитель открыл обновлённый учебный центр
2025-09-19,Argus,Прочее,Запущена корпоративная программа стажировок
2025-10-09,Reuters,Энергоносители,Стабилизация на газовом рынке снижает издержки производителей
2025-10-10,ICIS,Аммиак,Экспортные котировки аммиака выросли вслед за газом
2025-10-21,ICIS,Макро/валюта,Рубль резко ослаб к доллару
2025-10-27,Профильный телеграм-канал,Аммиак,Производители аммиака объявили о сокращении мощностей
2025-10-31,Reuters,Макро/валюта,Стабилизация рубля снижает экспортные премии
2025-11-11,ICIS,Логистика,Ставки морского фрахта взлетели из-за перегрузки портов
2025-11-12,Интерфакс,Энергоносители,Стабилизация на газовом рынке снижает издержки производителей
2025-11-13,Reuters,Спрос/агрорынок,Рост цен на зерно поддерживает спрос на удобрения
2025-11-18,CRU,Логистика,Нарушение цепочек поставок: контейнеры подорожали в разы
2025-11-25,CRU,Калий,"Поставки хлористого калия сорваны, цены MOP идут вверх"
2025-12-02,Профильный телеграм-канал,Калий,"Поставки хлористого калия сорваны, цены MOP идут вверх"
2025-12-06,CRU,Аммиак,Котировки аммиака пошли вниз на фоне слабого спроса
2025-12-19,ICIS,Аммиак,Запуск простаивавших мощностей давит на цены аммиака
2025-12-20,Профильный телеграм-канал,Прочее,Производитель открыл обновлённый учебный центр
2025-12-27,Интерфакс,Энергоносители,Цены на газ в Европе подскочили до многомесячных максимумов
2026-01-14,CRU,Макро/валюта,Стабилизация рубля снижает экспортные премии
2026-01-27,Профильный телеграм-канал,Спрос/агрорынок,Высокие цены на агрокультуры стимулируют закупки удобрений фермерами
2026-01-31,Интерфакс,Калий,Введены ограничения на экспорт калия — рынок ждёт дефицита
2026-01-31,Bloomberg,Макро/валюта,Стабилизация рубля снижает экспортные премии
2026-02-06,Bloomberg,Фосфаты,Снижение цен на серу тянет вниз котировки фосфатных удобрений
2026-02-07,Интерфакс,Логистика,"Ставки фрахта снижаются, логистика дешевеет"
2026-02-14,CRU,Фосфаты,DAP дешевеет из-за слабого спроса в Индии
2026-02-17,Коммерсантъ,Аммиак,Экспортные котировки аммиака выросли вслед за газом
2026-02-20,Bloomberg,Фосфаты,Снижение цен на серу тянет вниз котировки фосфатных удобрений
2026-02-27,Профильный телеграм-канал,Прочее,Опубликован годовой ESG-отчёт компании
2026-03-09,Bloomberg,Прочее,Производитель открыл обновлённый учебный центр
2026-03-11,Интерфакс,Калий,Новые контракты по калию заключены ниже рынка
2026-03-18,Argus,Прочее,Производитель открыл обновлённый учебный центр
2026-03-30,Reuters,Макро/валюта,"Рубль укрепился, ЦБ удержал ставку"
2026-04-10,Reuters,Калий,"Поставки хлористого калия сорваны, цены MOP идут вверх"
2026-04-20,Bloomberg,Аммиак,Запуск простаивавших мощностей давит на цены аммиака
2026-05-07,Reuters,Аммиак,Котировки аммиака пошли вниз на фоне слабого спроса
2026-05-13,ICIS,Спрос/агрорынок,Фермеры откладывают закупки удобрений
2026-05-15,Профильный телеграм-канал,Макро/валюта,Рубль резко ослаб к доллару
2026-05-16,Интерфакс,Аммиак,Экспортные котировки аммиака выросли вслед за газом
2026-05-29,Коммерсантъ,Прочее,Назначен новый директор по устойчивому развитию
2026-06-12,ICIS,Прочее,Подписан меморандум о научном сотрудничестве с вузом
2026-06-25,Bloomberg,Прочее,Запущена корпоративная программа стажировок
2026-07-01,Интерфакс,Фосфаты,Фосфатное сырьё дорожает вслед за серой
