date,source,headline,pred_category,category_reasoning,actionable
2025-11-25,CRU,"Поставки хлористого калия сорваны, цены MOP идут вверх",Калий,"Заголовок новости прямо указывает на хлористый калий (MOP) и рост цен на него. Источник CRU — авторитетный отраслевой аналитический ресурс. Событие имеет прямое рыночное воздействие на цену калийных удобрений, поэтому категория 'Калий' является единственно верной.",True
2025-12-02,Профильный телеграм-канал,"Поставки хлористого калия сорваны, цены MOP идут вверх",Калий,"Заголовок новости напрямую упоминает хлористый калий (MOP) и рост цен на MOP, что явно относится к категории 'Калий'.",True
2025-12-06,CRU,Котировки аммиака пошли вниз на фоне слабого спроса,Аммиак,"Заголовок и источник прямо указывают на снижение котировок аммиака, что относится к рынку аммиака и азотных удобрений. Слабый спрос также связан с аммиаком как конечным продуктом. Новость имеет прямой рыночный эффект на цены аммиака.",True
2025-12-19,ICIS,Запуск простаивавших мощностей давит на цены аммиака,Аммиак,"Заголовок новости напрямую связан с аммиаком и его ценами, а источник ICIS является надежным отраслевым изданием. Категория 'Аммиак' включает аммиак, мочевину и азотные удобрения, что соответствует содержанию новости.",True
2025-12-20,Профильный телеграм-канал,Производитель открыл обновлённый учебный центр,Прочее,"Новость не содержит прямого упоминания цен на удобрения, производства, спроса, логистики, макроэкономики или энергоносителей. Открытие учебного центра — корпоративное событие без немедленного рыночного эффекта на аммиак, фосфаты или калий.",False
2025-12-27,Интерфакс,Цены на газ в Европе подскочили до многомесячных максимумов,Энергоносители,"Заголовок прямо указывает на резкий рост цен на газ в Европе. Газ является ключевым энергоносителем для производства азотных удобрений (аммиак, мочевина). Новость имеет прямое отношение к себестоимости производства аммиака и мочевины и способна повлиять на цены этих удобрений.",True
2026-01-14,CRU,Стабилизация рубля снижает экспортные премии,Макро/валюта,"Заголовок и источник (CRU) прямо указывают на влияние курса рубля (USD/RUB) на экспортные премии, что относится к макроэкономическим и валютным факторам. Это соответствует категории 'Макро/валюта'. Стабилизация рубля является макроэкономическим событием, напрямую влияющим на экспортные цены и конкурентоспособность удобрений, но не касается конкретных сегментов (аммиак, фосфаты, калий) или других категорий.",True
2026-01-27,Профильный телеграм-канал,Высокие цены на агрокультуры стимулируют закупки удобрений фермерами,Спрос/агрорынок,"Заголовок прямо указывает на связь между ценами на агрокультуры и закупками удобрений фермерами. Это относится к факторам спроса и аграрного рынка, а не к конкретному виду удобрений или макроэкономике.",True
2026-01-31,Интерфакс,Введены ограничения на экспорт калия — рынок ждёт дефицита,Калий,"Заголовок новости прямо указывает на ограничения экспорта калия (MOP/potash). Описанный эффект — ожидание дефицита — относится к рынку калийных удобрений. Категория 'Калий' выбрана как наиболее точная, так как событие касается именно этого сектора.",True
2026-01-31,Bloomberg,Стабилизация рубля снижает экспортные премии,Макро/валюта,"Заголовок напрямую связан с курсом рубля и экспортными премиями, что соответствует категории 'Макро/валюта'. Источник Bloomberg — надёжный.",True
2026-02-06,Bloomberg,Снижение цен на серу тянет вниз котировки фосфатных удобрений,Фосфаты,"Сера является ключевым сырьём для производства DAP и MAP. Снижение цен на серу напрямую снижает себестоимость и, следовательно, котировки фосфорных удобрений. Источник Bloomberg — надёжный.",True
2026-02-07,Интерфакс,"Ставки фрахта снижаются, логистика дешевеет",Логистика,"Заголовок и источник (Интерфакс) напрямую указывают на снижение ставок фрахта и удешевление логистики. Это соответствует категории ""Логистика"", которая включает фрахт, доставку и цепочки поставок. Событие имеет прямое отношение к затратам на транспортировку удобрений, что может влиять на конкурентоспособность экспортных партий (особенно для калия и фосфатов), но не определяет немедленное изменение цен на аммиак, мочевину, DAP или MOP без учета других факторов.",True
2026-02-14,CRU,DAP дешевеет из-за слабого спроса в Индии,Фосфаты,"Новость напрямую касается DAP (диаммонийфосфата), который является ключевым продуктом в категории фосфатных удобрений. Снижение цены из-за слабого спроса в Индии — это прямой рыночный сигнал для сегмента DAP/MAP. Источник CRU является надежным отраслевым аналитическим агентством.",True
2026-02-17,Коммерсантъ,Экспортные котировки аммиака выросли вслед за газом,Аммиак,"Заголовок прямо указывает на аммиак и его экспортные котировки, а также на связь с газом (ключевой фактор для аммиака). Источник (Коммерсантъ) — надёжное деловое издание. Категория «Аммиак» выбрана, так как новость напрямую касается цен на аммиак и его зависимости от газа, что соответствует сильным связям (газ → аммиак).",True
2026-02-20,Bloomberg,Снижение цен на серу тянет вниз котировки фосфатных удобрений,Фосфаты,"Сера является ключевым сырьём для производства DAP и MAP. Снижение цен на серу напрямую снижает себестоимость и, следовательно, котировки фосфорных удобрений. Источник Bloomberg — надёжный.",True
2026-02-27,Профильный телеграм-канал,Опубликован годовой ESG-отчёт компании,Прочее,"Заголовок и источник указывают на публикацию годового ESG-отчёта компании, что не имеет прямого влияния на рыночные цены удобрений, не связано с производственными мощностями, логистикой, спросом, макроэкономикой или энергоносителями. ESG относится к корпоративной отчётности без немедленного рыночного эффекта.",False
2026-03-09,Bloomberg,Производитель открыл обновлённый учебный центр,Прочее,"Новость не содержит информации о ценах, производственных мощностях, спросе, логистике или макроэкономических факторах, напрямую влияющих на рынок удобрений. Открытие учебного центра — это корпоративное/ESG-событие без прямого рыночного эффекта.",False
2026-03-11,Интерфакс,Новые контракты по калию заключены ниже рынка,Калий,"Заголовок и источник (Интерфакс) напрямую указывают на калийные продукты (калий) и рыночные контракты, что соответствует категории 'Калий' (MOP, potash, хлористый калий). Категория 'Фосфаты' или 'Аммиак' не подходит, так как новость явно о калии. 'Макро/валюта' и прочие категории не релевантны, так как фокус на ценах калийных контрактов.",True
2026-03-18,Argus,Производитель открыл обновлённый учебный центр,Прочее,"Заголовок новости не содержит информации о конкретном продукте (аммиак, фосфаты, калий), ценах, спросе, логистике или макроэкономике. Открытие учебного центра — это корпоративное событие без прямого влияния на рыночные цены удобрений. Источник Argus известен, но сам заголовок не указывает на рыночно значимую информацию.",False
2026-03-30,Reuters,"Рубль укрепился, ЦБ удержал ставку",Макро/валюта,"Заголовок новости напрямую связан с курсом рубля и решением Центрального банка по ключевой ставке. Это относится к макроэкономическим и валютным факторам, которые влияют на рынок удобрений через экспортные премии и себестоимость. Источник Reuters — надежный. Согласно указанным сильным связям, USD/RUB сильнее всего связан с фрахтом, газом и аммиаком, но сама новость не упоминает эти товары, а фокусируется на макроэкономике.",True
2026-04-10,Reuters,"Поставки хлористого калия сорваны, цены MOP идут вверх",Калий,"Заголовок напрямую упоминает хлористый калий (MOP) и рост цен на него, что соответствует категории 'Калий'. Источник Reuters — надёжный.",True
2026-04-20,Bloomberg,Запуск простаивавших мощностей давит на цены аммиака,Аммиак,"Заголовок новости прямо указывает на аммиак и фактор, влияющий на его цены (запуск простаивавших мощностей). Источник — Bloomberg, надёжный. Категория 'Аммиак' выбрана, так как она охватывает аммиак, азотные удобрения и мощности азотных заводов. Другие категории не подходят, так как нет упоминаний о мочевине, фосфатах, калии, энергоносителях, логистике, макроэкономике, спросе или ESG.",True
2026-05-07,Reuters,Котировки аммиака пошли вниз на фоне слабого спроса,Аммиак,"Заголовок новости напрямую указывает на снижение котировок аммиака, что является прямым ценовым сигналом для рынка аммиака. Источник Reuters является надежным. Слабый спрос также относится к факторам, влияющим на рынок аммиака. Категория 'Аммиак' является наиболее подходящей, так как новость напрямую связана с ценами на аммиак.",True
2026-05-13,ICIS,Фермеры откладывают закупки удобрений,Спрос/агрорынок,"Заголовок новости напрямую связан с поведением фермеров, которые откладывают закупки удобрений. Это относится к спросу на удобрения и агрорынку. Источник ICIS является надежным отраслевым изданием. Другие категории (аммиак, фосфаты, калий, энергоносители, логистика, макро/валюта, прочее) не соответствуют содержанию, так как в заголовке нет указания на конкретный вид удобрений или другие факторы.",True
2026-05-15,Профильный телеграм-канал,Рубль резко ослаб к доллару,Макро/валюта,"Заголовок новости напрямую сообщает об ослаблении рубля к доллару, что относится к валютному курсу и макроэкономической ситуации. Это соответствует категории «Макро/валюта», которая включает курс, ЦБ, санкции, экспортные премии и макроэкономику. Другие категории (аммиак, фосфаты, калий, энергоносители, логистика, спрос/агрорынок, прочее) не имеют прямого отношения к данному заголовку.",True
2026-05-16,Интерфакс,Экспортные котировки аммиака выросли вслед за газом,Аммиак,"Заголовок напрямую указывает на динамику экспортных котировок аммиака, вызванную изменениями цен на газ. Это соответствует категории ""Аммиак"", которая включает аммиак, мочевину и азотные удобрения. Связь с газом является ключевой, так как газ сильнее всего связан с аммиаком и мочевиной, что подтверждено в инструкции.",True
2026-05-29,Коммерсантъ,Назначен новый директор по устойчивому развитию,Прочее,"Новость о назначении директора по устойчивому развитию (ESG) не содержит информации, напрямую влияющей на рыночные цены, производство, спрос, логистику или макроэкономические факторы в секторе минеральных удобрений. Источник (Коммерсантъ) является надёжным, но событие не выходит за рамки корпоративной кадровой перестановки без прямого рыночного эффекта.",False
2026-06-12,ICIS,Подписан меморандум о научном сотрудничестве с вузом,Прочее,"Новость о подписании меморандума о научном сотрудничестве с вузом не содержит информации о ценах, производстве, спросе или логистике минеральных удобрений. Она относится к корпоративным или академическим событиям, не имеющим прямого рыночного эффекта на аммиак, фосфаты или калий.",False
2026-06-25,Bloomberg,Запущена корпоративная программа стажировок,Прочее,"Новость не содержит информации о ценах, спросе, предложении, затратах или логистике на рынке удобрений. Запуск корпоративной программы стажировок — это внутреннее кадровое событие, не имеющее прямого влияния на рыночные факторы. Источник Bloomberg надёжен, но содержание новости не относится к рыночным данным.",False
2026-07-01,Интерфакс,Фосфатное сырьё дорожает вслед за серой,Фосфаты,"Заголовок новости напрямую указывает на фосфатное сырьё и его связь с серой. Согласно предоставленным правилам, сера сильнее всего связана с DAP, фосфорной рудой и MOP, что указывает на категорию 'Фосфаты'. Источник (Интерфакс) является надёжным. Масштаб события (рост цен на сырьё) имеет прямую связь с ценами на DAP и другие фосфорные удобрения.",True
